+44 , Lycanthrope
Breaking Benjamin , Sooner or Later
Breaking Benjamin , Until the End
Breaking Wheel , One For the Road
Bret Michaels Band , Go That Far
Brian Kahanek , Gemini
Bring Me The Horizon , Can You Feel My Heart
Brooks & Dunn , Hillbilly Deluxe
Bruce Springsteen , Born to Run
Bruce Springsteen , My Lucky Day
Buckethead , Jordan
Buckethead , Soothsayer
Bullet for My Valentine , Scream Aim Fire
Bunny Knutson , Lemon Frosting
Bush , Comedown
Bush , Machinehead
Buzzcocks , What Do I Get?
Capra , Low Day
Cheap Trick (WaveGroup) , Surrender
Children Of Bodom , Blooddrunk
Children Of Bodom , Done With Everything, Die For Nothing
Children of Bodom , If You Want Peace... Prepare for War
Children Of Bodom , Living Dead Beat
Children Of Bodom , Was It Worth It?
Chimaira , On Broken Glass
Cody ChesnuTT , Look Good in Leather
Coldplay , God Put a Smile Upon Your Face
Coldplay , In My Place
Coldplay , Shiver
Coldplay , Violet Hill
Coldplay , Yellow
Corrosion of Conformity , Albatross
Count Zero , Radium Eyes
Cream (WaveGroup) , Sunshine of Your Love
Creedence Clearwater Revival , Bad Moon Rising
Creedence Clearwater Revival , Commotion
Creedence Clearwater Revival , Fortunate Son
Creedence Clearwater Revival , Proud Mary
Creedence Clearwater Revival , Travelin' Band
Creedence Clearwater Revival , Up Around the Bend
Danzig , Mother
Danzig (WaveGroup) , Mother
Danzig (WaveGroup) , Mother (Co-op)
Darker My Love , Blue Day
Darkest Hour , Beyond the Life You Know
Darkest Hour , Demon
Darkest Hour , Doomsayer (The Beginning of the End)
Darkest Hour , Savor the Kill
David Bowie , Fame
Davidicus , You Really Like Me
Deep Purple , Burn
Deep Purple , Smoke on the Water
Deep Purple , Woman From Tokyo ('99 Remix)
Deep Purple (WaveGroup) , Hush
Deep Purple (WaveGroup) , Smoke On the Water
Def Leppard , Nine Lives
Def Leppard , Photograph (Live)
Def Leppard , Pour Some Sugar on Me (Live)
Def Leppard , Rock of Ages (Live)
Deftones , Hole in the Earth
Demi Lovato , Here We Go Again
Dethklok , Bloodlines
Dethklok , Laser Cannon Deth Sentence
Dethklok , Thunderhorse
Di-Rect , Johnny
Diamond Head , Am I Evil?
Dick Dale (WaveGroup) , Misirlou
Die Fantastischen Vier , Ernten, was wir saen
Die Toten Hosen , Hier kommt Alex
Die Toten Hosen , Hier Kommt Alex
Dinosaur Jr. , Feel the Pain
Dire Straits , Money for Nothing
Dire Straits , Sultans Of Swing
Disturbed , Down with the Sickness
Disturbed , Indestructible
Disturbed , Prayer
Disturbed , Stricken
Disturbed , Stricken
Disturbed , The Infection
Dom Liberati , Love Holds It Down
Dope , Nothing For Me Here
DragonForce , Fury of the Storm
Dragonforce , Heroes of Our Time
Dragonforce , Heroes of Our Time (Co-op)
Dragonforce , Operation Ground and Pound
Dragonforce , Operation Ground and Pound (Co-op)
Dragonforce , Revolution Deathsquad
Dragonforce , Revolution Deathsquad (Co-op)
Dragonforce , Through The Fire & Flames
Dragonforce , Through The Fire & Flames (Co-op)
Dragonforce , Through the Fire and Flames
Dream Theater , Pull Me Under
dredg , Bug Eyes
Drist , Arterial Black
Drist , Arterial Black (Co-op)
Dropkick Murphys , Famous for Nothing
Dropkick Murphys , Flannigan's Ball
Dropkick Murphys , I'm Shipping Up to Boston
Dropkick Murphys , Johnny, I Hardly Knew Ya
Dropkick Murphys , State of Massachusetts
Drowning Pool , Bodies
Duran Duran , Hungry Like The Wolf
Eagles , Frail Grasp on the Big Picture
Eagles , Hotel California
Eagles , Life In The Fast Lane
Eagles , One of These Nights
Eagles of Death Metal , Anything 'Cept the Truth
Eagles of Death Metal , Cherry Cola
Eagles of Death Metal , I Only Want You
Eagles Of Death Metal , Wannabe In L.A.
Edgar Winter , Free Ride
Edgar Winter Group (WaveGroup) , Frankenstein
Editors , Munich
Electric Six , Gay Bar
Elliott Smith , L.A.
Elton John , Saturday Night's Alright (For Fighting)
Eric Johnson , Camel's Night Out
Eric Johnson , Cliffs Of Dover
Every Time I Die , The New Black
Exies (WaveGroup) , Hey You
Extreme , Play With Me
Extremoduro , So Payaso
Extremoduro , So Payaso (Co-op)
Face To Face , Disconnected
Faith No More , Epic
Fall of Troy , A Classic Case of Transference
Fall of Troy , Panic Attack!
Fall of Troy , Single
Fall Out Boy , Dance, Dance
Fall Out Boy , The Take Over, the Breaks Over
Fall Out Boy , This Ain't a Scene, It's an Arms Race
Fall Out Boy , Thnks fr th Mmrs
Fear Factory , The Industrialist
Filter , Hey Man, Nice Shot
Finley , Adrenalina
Firewind , World On Fire
Fito & Fitipaldis , Por La Boca Vive El Pez
Five Finger Death Punch , Hard to See
Fleetwood Mac , Go Your Own Way
Flo Rida ft. T-Pain , Low (Travis Barker Remix)
Flogging Molly , (No More) Paddy's Lament
Flogging Molly , Requiem for a Dying Song
Flogging Molly , The Seven Deadly Sins
Flyleaf , Again
Flyleaf , Tina
Foghat (WaveGroup) , Slow Ride
Foo Fighters , All My Life
Foo Fighters , Everlong
Foo Fighters , Monkey Wrench
Foo Fighters , No Way Back
Foo Fighters , Stacked Actors
Foo Fighters , The Pretender
Foo Fighters , The Pretender (Co-op)
Foo Fighters , This Is a Call
Foo Fighters (WaveGroup) , Monkey Wrench
Foreigner , Feels Like the First Time
Foreigner , Hot Blooded
Foreigner , Jukebox Hero
Foreigner , Jukebox Hero
François Jalbert , Beenox Logo
Franz Ferdinand , Take Me Out
FreezePop , Less Talk More Rokk
FreezePop , Less Talk More Rokk (Co-op)
Gallows , In The Belly Of A Shark
Garbage , Only Happy When It Rains
Gary Moore , Still Got The Blues
George Thorogood & The Destroyers , Move It On Over (Live)
Gerard K. Marino , The End Begins (To Rock)
Godsmack , I Stand Alone
Goo Goo Dolls , Name
Gorillaz , Feel Good Inc.
Gov't Mule , Streamline Woman
Grand Funk Railroad , We're An American Band
Guns N' Roses , Welcome To The Jungle
Guns n' Roses (WaveGroup) , Sweet Child O' Mine
Günther , Ding Ding Dong
GWAR , Gor-Gor
H Is Orange , Nothing all The Time
Hawthorne Heights , Rescue Me
Heart , Barracuda
Heart (WaveGroup) , Barracuda
Heart (WaveGroup) , Crazy on You
Helmet , Unsung
Heroes del Silencio , Avalancha
HIM , Wings of a Butterfly
Hinder , Use Me
Honest Bob and the Factory-to-Dealer Incentives , Soy Bomb
Honest Bob and the Factory-to-Dealer Incentives , Soy Bomb (Co-op)
Housse De Racket , Oh Yeah!
Hundred Reasons , I'll Never Know
HushPuppies , You're Gonna Say Yeah!
I Prevail , Blank Space
I Prevail , Bow Down
I Prevail , Come And Get It
I Prevail , Crossroads
I Prevail , Hurricane
I Prevail , Lifelines
I Prevail , Love, Lust, And Liars
I Prevail , My Heart I Surrender
I Prevail , Rise
I Prevail , Scars
I Prevail , Stuck In Your Head
Iggy Pop , Lust For Life (Live)
Iggy Pop and the Stooges (WaveGroup) , Search and Destroy
In Flames , Disconnected
In Flames , Take This Life
Incubus , Drive
Incubus , Stellar
Incubus (WaveGroup) , Stellar
Interpol , Obstacle 1
Interpol , Slow Hands
Iron Maiden , 2 Minutes To Midnight
Iron Maiden , The Number of the Beast
Iron Maiden , The Trooper
Iron Maiden (WaveGroup) , The Trooper
Jack White & Alicia Keys , Another Way to Die
Jane's Addiction , Been Caught Stealing
Jane's Addiction , Mountain Song
Jane's Addiction , Stop
Jane's Addiction , Stop!
Jeff Beck , Scatterbrain (Live)
Jet , She's A Genius
Jethro Tull , Aqualung
Jimi Hendrix , Angel
Jimi Hendrix , Foxy Lady (Live at Woodstock)
Jimi Hendrix , Freedom
Jimmy Eat World , Bleed American
Jimmy Eat World , The Middle
Joan Jett And The Blackhearts , I Love Rock N' Roll
Joe Bonamassa , Lonesome Road Blues
Joe Satriani , Satch Boogie
Joe Satriani , Surfing with the Alien
John 5 featuring Jim Root , Black Widow of La Porte
John Mellencamp , Hurts So Good
Johnny Cash , Ring Of Fire
Journey , Any Way You Want It
Judas Priest , Electric Eye
Judas Priest , Hell Bent for Leather
Judas Priest (WaveGroup) , You've Got Another Thing Comin'
Kaiser Chiefs , I Predict a Riot
Kaiser Chiefs , Never Miss A Beat
Kaiser Chiefs , Ruby
Kansas , Carry On Wayward Son
Kansas (WaveGroup) , Carry On Wayward Son
Kasabian , Shoot the Runner
Kent , Vinternoll2
Killswitch Engage , My Curse
King Crimson , 21st Century Schizoid Man
Kings Of Leon , Sex On Fire
Kiss , Calling Dr. Love
Kiss , Detroit Rock City
Kiss , I Was Made for Lovin' You
Kiss , Lick It Up
Kiss , Love Gun
Kiss , Modern Day Delilah
KISS , Rock and Roll All Night
KISS , Rock and Roll All Night ft. Steve Ouimette
Kiss , Rock and Roll All Nite
Kiss , Shout It Out Loud
KISS (Steve Ouimette) , Rock & Roll All Nite
Kiss (WaveGroup) , Strutter
Kiss (WaveGroup) , Strutter (Co-op)
Korn , Freak on a Leash
Kyuss , Demon Cleaner
L.A. Slum Lords , Down N' Dirty
Lacuna Coil , Closer
Lacuna Coil , Our Truth
Lady Gaga (feat. Colby O'Donis) , Just Dance
Lamb of God , Laid to Rest
Lamb of God (WaveGroup) , Laid To Rest
Lamb of God (WaveGroup) , Laid To Rest (Co-op)
Led Zeppelin , Black Dog (Live)
Lenny Kravitz , Are You Gonna Go My Way
Lenny Kravitz , Fly Away
Lenny Kravitz , Lady
Lenny Kravitz , Let Love Rule
Les Rita Mitsouko , C'est Comme Ca
Level 70 Elite Tauren Chieftain , I am Murloc
Limp Bizkit , Nookie
Linkin Park , Blackout
Linkin Park , Bleed It Out
Linkin Park , Burning In the Skies
Linkin Park , No More Sorrow
Linkin Park , The Catalyst
Linkin Park , The Messenger
Linkin Park , Waiting for the End
Linkin Park , What I've Done
Linkin Park , Wretches And Kings
Lions , Metal Heavy Lady
Live , I Alone
Living Colour , Cult of Personality
Living Colour , Cult Of Personality
Loquillo Y Los Trogloditas , Cadillac Solitario (Live)
Los Lobos , La Bamba
Los Rodriguez , Sin Documentos
Lostprophets , Rooftops (A Liberation Broadcast)
Love & Rockets , Mirror People
Lynyrd Skynyrd , Call Me the Breeze (Live)
Lynyrd Skynyrd , Free Bird
Lynyrd Skynyrd , Free Bird
Lynyrd Skynyrd , Gimme Three Steps
Lynyrd Skynyrd , Simple Man
Lynyrd Skynyrd , Sweet Home Alabama (Live)
Lynyrd Skynyrd , Sweet Home Alabama (Live)
Lynyrd Skynyrd , Tuesday's Gone
Lynyrd Skynyrd (WaveGroup) , Free Bird
Lynyrd Skynyrd (WaveGroup) , Free Bird (Co-op)
M-Clan , Carolina
Machine Head , Beautiful Mourning
Made in Mexico , Yes We Can
Madina Lake , Across 5 Oceans
Madina Lake , Hey Superstar
Marcy Playground , Sex And Candy
Marilyn Manson , Coma White
Marilyn Manson , Get Your Gunn
Marilyn Manson , Putting Holes in Happiness (Nick Zinner Remix)
Marilyn Manson , The Beautiful People
Marilyn Manson , The Dope Show
Marilyn Manson , Tourniquet
Maroon 5 , Harder to Breathe
Maroon 5 , This Love
Mastodon , Blood and Thunder
Mastodon , Sleeping Giant
Matchbook Romance , Monsters
Matchbox Twenty , Real World
Matthew Sweet (WaveGroup) , Girlfriend
Matthew Sweet (WaveGroup) , Girlfriend (Co-op)
Maylene and the Sons of Disaster , Memories of the Grove
MC5's Wayne Kramer , Kick Out the Jams
Megadeth , Hangar 18
Megadeth , Holy Wars... The Punishment Due
Megadeth , Peace Sells
Megadeth , Sudden Death
Megadeth , Sudden Death (Career Version)
Megadeth , Sweating Bullets
Megadeth , Symphony of Destruction
Megadeth , This Day We Fight!
Megadeth (WaveGroup) , Hangar 18
Megasus , Red Lottery
Mercyful Fate , Evil
Metallica , All Nightmare Long
Metallica , All Nightmare Long
Metallica , Battery
Metallica , Broken, Beat & Scarred
Metallica , Broken, Beat & Scarred
Metallica , Creeping Death
Metallica , Cyanide
Metallica , Cyanide
Metallica , Disposable Heroes
Metallica , Dyer's Eve
Metallica , Enter Sandman
Metallica , Fade to Black
Metallica , Fight Fire with Fire
Metallica , For Whom the Bell Tolls
Metallica , Frantic
Metallica , Fuel
Metallica , Hit the Lights
Metallica , King Nothing
Metallica , Master of Puppets
Metallica , Mercyful Fate
Metallica , My Apocalypse
Metallica , My Apocalypse
Metallica , No Leaf Clover
Metallica , Nothing Else Matters
Metallica , One
Metallica , One
Metallica , One (Co-op)
Metallica , Orion
Metallica , Sad But True
Metallica , Seek and Destroy
Metallica , Suicide & Redemption J.H.
Metallica , Suicide & Redemption K.H.
Metallica , Suicide And Redemption J.H.
Metallica , Suicide And Redemption J.K.H.
Metallica , Suicide And Redemption K.H.
Metallica , That Was Just Your Life
Metallica , That Was Just Your Life
Metallica , The Day That Never Comes
Metallica , The Day That Never Comes
Metallica , The End of the Line
Metallica , The End of The Line
Metallica , The Judas Kiss
Metallica , The Judas Kiss
Metallica , The Memory Remains
Metallica , The Shortest Straw
Metallica , The Thing That Should Not Be
Metallica , The Unforgiven
Metallica , The Unforgiven III
Metallica , The Unforgiven III
Metallica , Trapped Under Ice
Metallica , Welcome Home (Sanitarium)
Metallica , Wherever I May Roam
Metallica , Whiplash
Metallica & Ozzy Osbourne , Paranoid (Live)
Michael Jackson , Beat It
Michael Schenker Group , Armed and Ready
Mick Gordon , BFG Division (DOOM)
Middle Class Rut , Lifelong Dayshift
Middle Class Rut , New Low
Middle Class Rut , Sad To Know
Miley Cyrus , 7 Things
Misfits , Astro Zombies
Modest Mouse , Float On
Motley Crue , Girls, Girls, Girls
Mötley Crüe , Looks That Kill
Motley Crue , Shout at the Devil
Mötley Crüe (WaveGroup) , Shout At The Devil
Motorhead , (We Are) The Road Crew
Motörhead , Ace of Spades
Motorhead , Iron Fist
Motorhead , Jailbait
Motorhead , Love Me Like a Reptile
Motörhead , Motörhead
Motörhead , Overkill
Motorhead , Stay Clean
Motorhead (WaveGroup) , Ace of Spades
Mountain (WaveGroup) , Mississippi Queen
Muse , Assassin
Muse , Exo-Politics
Muse , Knights of Cydonia
Muse , Plug In Baby
Muse , Resistance
Muse , Stockholm Syndrome
Muse , Supermassive Black Hole
Muse , Supermassive Black Hole
Muse , Uprising
My Chemical Romance , Bulletproof Heart
My Chemical Romance , Dead!
My Chemical Romance , Dead! (Co-op)
My Chemical Romance , Famous Last Words
My Chemical Romance , Helena
My Chemical Romance , I'm Not Okay (I Promise)
My Chemical Romance , Na Na Na (Na Na Na Na Na Na Na Na Na)
My Chemical Romance , Teenagers
My Chemical Romance , Teenagers
My Chemical Romance , This Is How I Disappear
My Chemical Romance , Welcome To The Black Parade
My Morning Jacket , One Big Holiday
Naast , Mauvais Garçon
Nada Surf , Hi-Speed Soul
Nancy Fullforce , RockNRola
Negramaro , Nuvole e Lenzuola
Negrita , Mama Mae
Neil Young , Rockin' in the Free World
Nickelback , Because of You
Nickelback , How You Remind Me
Night Ranger , (You Can Still) Rock in America
Night Ranger , Sister Christian
Nine Inch Nails , Closer
Nine Inch Nails , Head Like a Hole
Nine Inch Nails , March of the Pigs
Nine Inch Nails , The Hand That Feeds
Nine Inch Nails , Wish
Nirvana , About a Girl (Unplugged Live)
Nirvana , Heart Shaped Box
Nirvana , Lithium (Live)
Nirvana , Negative Creep
Nirvana , Sappy
Nirvana , Silver
Nirvana , Smells Like Teen Spirit
Nirvana , Stay Away
Nirvana , Very Ape
Nirvana , You Know You're Right
Nirvana (WaveGroup) , Heart-Shaped Box
No Doubt , Don't Speak
No Doubt , Ex-Girlfriend
No Doubt , Excuse Me Mr.
No Doubt , New
No Doubt , Spiderwebs
No Doubt , Sunday Morning
Noble Rot , Kicked To The Curb
NOFX , Linoleum
NOFX , Soul Doubt
O'Donnell & Salvatori & Vai , Halo Theme MJOLNIR Mix
O'Donnell & Salvatori & Vai , Halo Theme MJOLNIR Mix (Co-op)
Oasis , Ain't Got Nothin'
Oasis , Bag It Up
Oasis , Falling Down
Oasis , Get Off Your High Horse Lady
Oasis , Im Outta Time
Oasis , Soldier On
Oasis , Some Might Say
Oasis , The Nature Of Reality
Oasis , The Shock of the Lightning
Oasis , The Turning
Oasis , To Be Where There's Life
Oasis , Waiting for the Rapture
OK Go , Do What You Want
OK Go , Get Over It
OK Go , Here It Goes Again
OneRepublic , All The Right Moves
OneRepublic , Everybody Loves Me
OneRepublic , Mercy
OneRepublic , Stop and Stare
Orgy , Blue Monday
Orianthi , Suffocated
Ounce of Self , Drink Up
Owl City , Fireflies
Ozzy Osbourne , Bark at the Moon
Ozzy Osbourne , Crazy Train
Ozzy Osbourne , Mr. Crowley
Ozzy Osbourne (WaveGroup) , Bark At The Moon
P.O.D. , Boom
P.O.D. , Southtown
P.O.D. , Youth of the Nation
Pantera , Cowboys From Hell
Pantera , I'm Broken
Papa Roach , Last Resort
Paramore , Ignorance
Paramore , Misery Business
Paramore , That's What You Get
Pat Benatar , Heartbreaker
Pat Benatar (WaveGroup) , Hit Me With Your Best Shot
Pat Benetar , Hit Me With Your Best Shot
Paul McCartney & Wings , Band on the Run
Paul McCartney & Wings , Junior's Farm
Pavement , Cut Your Hair
Pearl Jam , Even Flow
Pearl Jam (WaveGroup) , Life Wasted
Pepper , Your Face
Peter Frampton , Do You Feel Like We Do (Live)
Peter Frampton , Show Me the Way (Live)
Phish , Chalk Dust Torture (Live)
Phish , Down with Disease (Live)
Phish , Sample in a Jar (Live)
Phoenix , 1901
Phoenix , Everything Is Everything
Phoenix , Lasso
Phoenix , Lisztomania
Pink , So What
Pink Floyd , Comfortably Numb
Pixies , Debaser
Pixies , Monkey Gone to Heaven
Pixies , The Sad Punk
Placebo , The Bitter End
Pleymo , Sept
Poison , Nothin' but a Good Time
Poison , Talk Dirty to Me
Poison , Talk Dirty to Me
Poison , Unskinny Bop
Priestess , Lay Down
Priestess , Lay Down
Primus , John the Fisherman
Protest the Hero , Bloodmeat
Protest The Hero , Bury The Hatchet
Prototype , The Way It Ends
Public Enemy Featuring Zakk Wylde , Bring The Noise 20XX
Puddle of Mudd , Psycho
Queen , Bohemian Rhapsody
Queen , C-lebrity
Queen , Crazy Little Thing Called Love
Queen , Fat Bottomed Girls
Queen , Killer Queen
Queen , Killer Queen
Queen , Somebody to Love
Queen , Stone Cold Crazy
Queen , We Are the Champions
Queen (WaveGroup) , Killer Queen
Queen & David Bowie , Under Pressure
Queens of the Stone Age , 3's & 7's
Queens of the Stone Age , Avon
Queens of the Stone Age , How To Handle A Rope
Queens of the Stone Age , Little Sister
Queens Of The Stone Age , Make It Wit Chu
Queens of the Stone Age , Mexicola
Queens of the Stone Age , No One Knows
Queensrÿche , Jet City Woman
R.E.M. , Horse to Water
R.E.M. , Losing My Religion
R.E.M. , Man-Sized Wreath
R.E.M. , Supernatural Superserious
R.E.M. , The One I Love
R.E.M. , What's the Frequency, Kenneth?
Radio Futura , Escuela de Calor
Rage Against the Machine , Bulls on Parade
Rage Against the Machine , Killing In The Name
Rage Against The Machine (WaveGroup) , Killing In The Name
Ram Jam , Black Betty
Rammstein , Du Hast
Rammstein , Waidmanns Heil
Rancid , Ruby Soho
Rancid (WaveGroup) , Salvation
Rascal Flatts , Me and My Gang
Ratt , Round and Round
Red Hot Chili Peppers , Suck My Kiss
Red Hot Chili Peppers (WaveGroup) , Higher Ground
Red Rider , Lunatic Fringe
Rev Theory , Light It Up
Reverend Horton Heat (WaveGroup) , Psychobilly Freakout
Revolverheld , Generation Rock
Richard Cheese , Chop Suey! (System of a Down cover)
Richard Fortus , The James Bond Theme
Rick Derringer (WaveGroup) , Rock and Roll Hoochie Koo
Rick Springfield , Jessie's Girl
Rise Against , Audience of One
Rise Against , Death Blossoms
Rise Against , Prayer Of The Refugee
Rise Against , Re-Education (Through Labor)
Rise Against , Ready to Fall
Rise Against , Savior
Rose Hill Drive , Sneak Out
Rush , 2112 Pt. 1 - Overture
Rush , 2112 Pt. 2 - The Temples of Syrinx
Rush , 2112 Pt. 3 - Discovery
Rush , 2112 Pt. 4 - Presentation
Rush , 2112 Pt. 5 - Oracle: The Dream
Rush , 2112 Pt. 6 - Soliloquy
Rush , 2112 Pt. 7 - Grand Finale
Rush , Limelight
Rush , Red Barchetta
Rush , The Spirit Of Radio (Live)
Rush , Tom Sawyer
Rush , YYZ
Rush (WaveGroup) , YYZ
RX Bandits , It's Only Another Parsec...
Ryan Adams , Wonderwall
S.U.P.R.A.H.U.M.A.N. - ProtoShredanoid , Guitar Hero On Tour: Modern Hits Theme
Sahara Hotnights , Hot Night Crash
Saliva , Always
Samhain , Mother of Mercy
Santana , Black Magic Woman
Santana , No One To Depend On (Live)
Saving Abel , Addicted
Scars On Broadway , They Say
Scorpions (Steve Ouimette) , Rock You Like A Hurricane
Scott McKeon , Broken Man
Scouts of St. Sebastian , In Love
Screaming Trees , Nearly Lost You
Seether , 69 Tea
Seether , Broken (ft. Amy Lee)
Seether , Careless Whisper
Seether , Country Song
Seether , Driven Under
Seether , Fake It
Seether , Fine Again
Seether , Gasoline
Seether , Hang On
Seether , Nobody Praying for Me
Seether , Remedy
Seether , Rise Above This
Seether , Same Damn Life
Seether , Tonight
Seether , Truth
Seether , Words as Weapons
Selena Gomez & the Scene , Falling Down
Senses Fail , Can't Be Saved
Senses Fail , The Martyr
Sex Pistols , Problems (Live at Brixton)
Shadows Fall , Still I Rise
Shadows Fall , The Light That Blinds
Shinedown , Devour
Shinedown , Second Chance
Shinedown , Sound of Madness
Silverchair , Tomorrow
Silverstein , I Am the Arsonist
Silversun Pickups , It's Nice To Know You Work Alone
Silversun Pickups , Lazy Eye
Silversun Pickups , Panic Switch
Silversun Pickups , There's No Secrets This Year
Silversun Pickups , Well Thought Out Twinkles
Slash , Guitar Battle vs. Slash
Slash , Slash Guitar Battle
Slash , Slash Guitar Battle (Co-op)
Slash (With Dave Grohl and Duff McKagan) , Watch This
Slash (With Iggy Pop) , We're All Gonna Die
Slash (With M. Shadows) , Nothing to Say
Slash ft Ian Astbury , Ghost
Slayer , Chemical Warfare
Slayer , Raining Blood
Slayer , Raining Blood
Slayer , War Ensemble
Slightly Stoopid , Jimi
Slipknot , Before I Forget
Slipknot , Psychosocial
Snot , Deadfall
Snow Patrol , Hands Open
Snow Patrol , You're All I Have
Social Distortion , Mommy's Little Monster (Live)
Social Distortion , Story Of My Life
Soilwork , Exile
Sonata Arctica , Replica
Sonic Youth , Incinerate
Sonic Youth , Kool Thing
Soundgarden , Birth Ritual
Soundgarden , Black Hole Sun
Soundgarden , Black Rain
Soundgarden , Blow Up The Outside World
Soundgarden , Burden In My Hand
Soundgarden , Fell On Black Days
Soundgarden , Hands All Over
Soundgarden , Hunted Down
Soundgarden , My Wave
Soundgarden , Outshined
Soundgarden , Rusty Cage
Soundgarden , Spoonman
Spacehog , In The Meantime
Spinal Tap (WaveGroup) , Tonight I'm Gonna Rock You Tonight
Spinal Tap (WaveGroup) , Tonight I'm Gonna Rock You Tonight (Co-op)
Sponge , Plowed
Spoon , Sister Jack
Sportfreunde Stiller , '54,'74,'90,2010
Stan Bush , The Touch
Steely Dan , Black Friday
Steely Dan , Bodhisattva
Steely Dan , Do It Again
Steely Dan , Kid Charlemagne
Steve Miller Band , Take the Money and Run
